"Accession","Organism","Genome assembly","Donor sex","Donor age","File download url"
"GSM3106396","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106396/suppl/GSM3106396_ENCFF130ZXB_peaks_GRCh38.bed.gz"
"GSM3106393","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106393/suppl/GSM3106393_ENCFF377GJL_peaks_GRCh38.bed.gz"
"GSM3106390","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106390/suppl/GSM3106390_ENCFF016GIK_peaks_GRCh38.bed.gz"
"GSM3106388","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106388/suppl/GSM3106388_ENCFF603NGT_peaks_GRCh38.bed.gz"
"GSM3106384","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106384/suppl/GSM3106384_ENCFF722OKT_peaks_GRCh38.bed.gz"
"GSM3106383","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106383/suppl/GSM3106383_ENCFF048YRU_peaks_GRCh38.bed.gz"
"GSM3106380","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106380/suppl/GSM3106380_ENCFF526ZIO_peaks_GRCh38.bed.gz"
"GSM3106375","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106375/suppl/GSM3106375_ENCFF551MZQ_peaks_GRCh38.bed.gz"
"GSM3106374","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106374/suppl/GSM3106374_ENCFF204QVL_peaks_GRCh38.bed.gz"
"GSM3106371","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106371/suppl/GSM3106371_ENCFF178CSM_peaks_GRCh38.bed.gz"
"GSM3106368","Homo sapiens","GRCh38","male","58 year","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3106nnn/GSM3106368/suppl/GSM3106368_ENCFF922EYU_peaks_GRCh38.bed.gz"
"GSM2983244","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2983nnn/GSM2983244/suppl/GSM2983244_H3K36me3_12hour_peaks.bed.gz"
"GSM2983243","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2983nnn/GSM2983243/suppl/GSM2983243_H3K36me3_4hour_peaks.bed.gz"
"GSM2983242","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2983nnn/GSM2983242/suppl/GSM2983242_H3K36me3_1hour_peaks.bed.gz"
"GSM2983241","Homo sapiens","-","-","-","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2983nnn/GSM2983241/suppl/GSM2983241_H3K36me3_0hour_peaks.bed.gz"
